,label,x,y
0,Pt-0,2001.1257054458565,1504.3447489462585
1,Pt-1,1883.4021317364154,1698.0181571058706
2,Pt-2,1843.7670839975194,1464.8520832390002
3,Pt-3,1789.4635039487218,1611.0488520190506
4,Pt-4,1394.6360222283897,1675.035793551063
5,Pt-5,inf,inf
6,Pt-6,inf,inf
7,Pt-7,inf,inf
8,Pt-8,inf,inf
9,Pt-9,1854.2950328754246,994.3159390307959
10,Pt-10,1729.0089884906388,992.0397191358514
11,Pt-11,1603.9932632113232,1001.6014343834333
12,Pt-12,inf,inf
13,Pt-13,2198.949724782929,2219.054961756502
14,Pt-14,2043.538380213577,2159.659839683794
15,Pt-15,2028.9491804758152,2317.1144008179263
16,Pt-16,2164.9476959940257,1947.0881372238032
17,Pt-17,1942.5164125429726,1867.6722232544253
18,Pt-18,2042.7824660378644,2021.3780318930824
19,Pt-19,992.6928792360966,856.4416440596322
20,Pt-20,913.1718574862651,784.8092289919014
21,Pt-22,561.1115988092763,768.3629679329944
22,Pt-23,652.0831807146119,860.6275423882039
23,Pt-24,774.2241212393301,905.4779268685801
24,Pt-25,905.2354457018678,918.070226457264
25,Pt-26,1166.0246173385947,1475.2322040262832
26,Pt-27,1010.558229628546,1518.6050843167084
27,Pt-28,inf,inf
28,Pt-29,inf,inf
29,Pt-30,340.40741967442165,1080.1166070507002
30,Pt-31,311.24038107472126,1004.8603382969508
31,Pt-32,161.3762586054113,993.0601911350244
32,Pt-33,749.9406516917192,788.6516555944685
33,Pt-34,inf,inf
34,Pt-35,inf,inf
35,Pt-36,1345.8310854167478,2107.108095541207
36,Pt-37,1216.349414459269,2116.4265764481124
37,Pt-38,931.9112402934275,2176.421531143973
38,Pt-39,896.6206910754782,2539.200087366059
39,Pt-40,1361.103331035893,2445.356179646755
40,Pt-41,1774.3352336798173,2406.018045762501
41,Pt-42,1650.4250742538236,2343.791222430532
42,Pt-43,1585.1193111327011,2443.914871748588
43,Pt-44,1882.8323074960192,2319.160512928666
44,Pt-45,1834.9969931450662,2342.9300573208106
45,Pt-46,inf,inf
46,Pt-47,inf,inf
47,Pt-48,2051.1235726405675,1575.2786856943242
48,Pt-49,1905.3692798940017,1638.2795633071585
49,Pt-50,690.1254998501456,377.94777929206845
50,Pt-51,795.2929475507601,235.4307503245292
51,Pt-52,944.8074183424604,457.30124385671803
52,Pt-53,1084.7198804520715,454.0077353402318
53,Pt-54,1297.9667785949612,266.4464103998955
54,Pt-55,1334.6962878700067,537.6523072082015
55,Pt-56,1487.6747604901307,490.5060129981728
56,Pt-57,inf,inf
57,Pt-58,1131.1614846905986,744.8416294709466
58,Pt-59,inf,inf
59,Pt-60,2322.444022073416,475.0360692025763
60,Pt-61,2546.0196570446515,1295.738780209475
61,Pt-62,2603.450515799884,1361.620681929827
62,Pt-63,inf,inf
63,Pt-64,inf,inf
64,Pt-65,1989.429115616326,1352.7343752665977
65,Pt-66,1737.2578339655827,496.82354257752473
66,Pt-67,inf,inf
67,Pt-68,inf,inf
68,Pt-69,inf,inf
69,Pt-70,inf,inf
70,Pt-71,2024.2097803325885,982.6522255459821
71,Pt-72,2183.4541712414048,969.4978813147453
72,Pt-73,2506.802232679682,1020.7594694815662
73,Pt-74,2446.859169403082,1070.244432991267
74,Pt-75,2239.3553764915773,1013.469002539508
75,Pt-76,557.2881521072162,2298.805995961859
76,Pt-77,inf,inf
77,Pt-78,inf,inf
78,Pt-79,854.4119313967077,2388.656325156196
79,Pt-80,1240.7316094124499,2417.8822340179713
80,Pt-81,1297.0990168994358,2181.7595600823834
81,Pt-82,1009.4575603732367,1064.7156759380678
82,Pt-83,inf,inf
83,Pt-84,1126.1435399256723,1111.0879158672308
84,Pt-85,1940.787740546977,815.3121672729712
85,Pt-86,1567.6506236009513,672.2100239275665
86,Pt-87,1568.9973225302874,1257.0776465983897
87,Pt-88,1228.1788123218396,1282.1701633574805
88,Pt-89,272.8791639708312,1713.9827245498716
89,Pt-90,251.86381312030085,1620.071395836419
90,Pt-91,504.30874279473056,1300.9517138154556
91,Pt-92,574.4737855364991,1278.398341126693
92,Pt-93,1659.8345287227867,1674.0185049295212
93,Pt-94,1721.7281977965877,417.7626352018082
94,Pt-95,1814.609838593845,338.23992056886686
95,Pt-96,2415.1863905598243,1245.8675854037492
96,Pt-97,2288.223388401523,1275.3317570167806
97,Pt-98,1689.5907843963132,1534.6700856690113
98,Pt-99,1612.455463464663,2141.7565504434924
