,label,x,y
0,Pt-0,1176.6256363575521,1765.1623278520303
1,Pt-1,1100.8723038225507,1569.5163339763355
2,Pt-2,1318.5638199775867,1676.4375411322192
3,Pt-3,1203.1736754579226,1543.6068188278637
4,Pt-4,1511.9694945686476,1255.0232676049206
5,Pt-5,inf,inf
6,Pt-6,inf,inf
7,Pt-7,inf,inf
8,Pt-8,inf,inf
9,Pt-9,1611.6015218601954,2006.6101249740088
10,Pt-10,1721.6885682170584,1948.3776524107923
11,Pt-11,1775.6885211271256,1884.4813293002467
12,Pt-12,inf,inf
13,Pt-13,569.555176724952,1436.2536746638564
14,Pt-14,712.4516837923779,1365.1462140500983
15,Pt-15,629.2801276291932,1231.9716501999903
16,Pt-16,741.2161402380674,1589.8224838209628
17,Pt-17,996.9041703625834,1479.0090075163705
18,Pt-18,759.741851451465,1462.5208364675238
19,Pt-19,2434.044267303337,1581.0340311051775
20,Pt-20,2517.5054042508295,1575.2725501379007
21,Pt-22,2756.375701819902,1365.8314791037997
22,Pt-23,inf,inf
23,Pt-24,2557.418565115093,1392.7725188895272
24,Pt-25,2416.832619845172,1490.7605340455289
25,Pt-26,1850.46162976304,1247.235882539595
26,Pt-27,1916.750814966487,1093.4470490916165
27,Pt-28,inf,inf
28,Pt-29,inf,inf
29,Pt-30,2732.3646880162887,1002.4034670139132
30,Pt-31,2782.976668539099,1067.2708295182304
31,Pt-32,2913.2958836480757,940.3996957889584
32,Pt-33,2652.0915237662134,1452.762767741922
33,Pt-34,inf,inf
34,Pt-35,inf,inf
35,Pt-36,1280.8614501501313,901.459494964314
36,Pt-37,1336.6207882177398,819.2210174797492
37,Pt-38,1549.9028912530728,564.3605533055342
38,Pt-39,1327.6696429312676,288.1705262230589
39,Pt-40,1026.3699177577269,683.367164848643
40,Pt-41,724.9526265610652,967.2331414670521
41,Pt-42,884.3258789000391,926.1022326912596
42,Pt-43,841.1188901007054,818.0147253017072
43,Pt-44,739.7875526981921,1126.882509686212
44,Pt-45,735.7440695525589,1079.8415392372865
45,Pt-46,inf,inf
46,Pt-47,inf,inf
47,Pt-48,1082.7008117977546,1746.2177390809668
48,Pt-49,1156.9329334599345,1613.6827548043664
49,Pt-50,2928.245333569846,1780.5641825559567
50,Pt-51,2919.2249865213616,1914.9545735416852
51,Pt-52,2659.7565902261063,1878.2936048606673
52,Pt-53,2607.5027905688753,1943.099058737544
53,Pt-54,2520.9417408991944,2223.280408772631
54,Pt-55,inf,inf
55,Pt-56,2237.0007352548323,2212.3941796436725
56,Pt-57,inf,inf
57,Pt-58,2382.4724422138956,1783.1415707651413
58,Pt-59,inf,inf
59,Pt-60,1600.044149514953,2725.984037073789
60,Pt-61,inf,inf
61,Pt-62,817.216315604778,2273.470744840988
62,Pt-63,inf,inf
63,Pt-64,inf,inf
64,Pt-65,inf,inf
65,Pt-66,inf,inf
66,Pt-67,inf,inf
67,Pt-68,inf,inf
68,Pt-69,inf,inf
69,Pt-70,inf,inf
70,Pt-71,1485.3522537062652,2142.0196588715044
71,Pt-72,1380.070056491065,2269.087476824628
72,Pt-73,1096.9815190564404,2429.8288549245285
73,Pt-74,1094.6841891636425,2383.697015241935
74,Pt-75,1334.8537974640017,2260.5243132054284
75,Pt-76,1747.3123532756474,247.74110564821288
76,Pt-77,inf,inf
77,Pt-78,inf,inf
78,Pt-79,1448.9155833729333,372.69492404091807
79,Pt-80,1114.3213803724013,639.287416099028
80,Pt-81,1272.7744838588646,807.3775540664632
81,Pt-82,2225.6743897665606,1466.1273312761607
82,Pt-83,inf,inf
83,Pt-84,2080.2968272596822,1476.028715901905
84,Pt-85,1677.2586178762006,2207.698521722205
85,Pt-86,inf,inf
86,Pt-87,1691.2441180420674,1626.5358261718425
87,Pt-88,1848.7536511050855,1473.165124622543
88,Pt-89,2356.7595342292852,507.273887676875
89,Pt-90,2442.714958520937,543.4671975572616
90,Pt-91,2507.0712226864157,942.8794535781944
91,Pt-92,2425.3165432776386,1007.303920732856
92,Pt-93,1310.2152578306645,1398.1968465007205
93,Pt-94,2091.7010430569544,2391.380081697643
94,Pt-95,2071.0484955927063,2506.8754108142607
95,Pt-96,1011.1319500024424,2239.6252639213353
96,Pt-97,1052.751568405421,2115.788218860346
97,Pt-98,1381.3342348659496,1559.3330164322792
98,Pt-99,1065.5054384827745,1067.5085003403035
99,Pt-100,1458.18401587988,1066.5492790941753
100,Pt-101,2213.788321416644,1187.2145508883964
101,Pt-102,2746.944292494234,1635.675463611638
102,Pt-103,1944.2730066431873,2300.374319453366
103,Pt-104,1708.4197634092045,2499.959242456131
104,Pt-105,1559.9893707825745,2516.0709709502244
105,Pt-106,1763.6706100732658,2594.310759882004
106,Pt-107,1463.7070138443876,779.8356749910813
